s1,s2,s3,action,reward,ns1,ns2,ns3,done
-0.8537515,0.52068067,-6.9372997,1.452413703502374,-11.543271,-0.6493291,0.7605075,-6.328927,0.0
-0.6493291,0.7605075,-6.328927,0.4931925073102317,-9.192774,-0.41001776,0.91207755,-5.684568,0.0
-0.41001776,0.91207755,-5.684568,-0.6764079005894033,-7.2050133,-0.16659461,0.98602545,-5.1019707,0.0
-0.16659461,0.98602545,-5.1019707,-1.7457665988559055,-5.627298,0.06379747,0.9979629,-4.6243167,0.0
0.06379747,0.9979629,-4.6243167,-0.7560707131373512,-4.409917,0.2602717,0.9655354,-3.9892552,0.0
0.2602717,0.9655354,-3.9892552,-0.6992667118930118,-3.301442,0.41850922,0.90821254,-3.3699934,0.0
0.41850922,0.90821254,-3.3699934,0.9184247133522563,-2.4338343,0.53064114,0.8475966,-2.5510705,0.0
0.53064114,0.8475966,-2.5510705,0.5502298854208525,-1.6741087,0.6059812,0.795479,-1.8328385,0.0
0.6059812,0.795479,-1.8328385,1.5488509703053062,-1.1843563,0.6451303,0.7640726,-1.0039016,0.0
0.6451303,0.7640726,-1.0039016,-0.11114029935220282,-0.8570028,0.6620642,0.74944717,-0.44751823,0.0
0.6620642,0.74944717,-0.44751823,-1.5216230162467932,-0.74013555,0.6663132,0.745672,-0.11367632,0.0
0.6663132,0.745672,-0.11367632,0.85297914889198,-0.71021414,0.6446591,0.76447016,0.57352453,0.0
0.6446591,0.76447016,0.57352453,1.0431401944675898,-0.7912624,0.59350747,0.8048285,1.3033482,0.0
0.59350747,0.8048285,1.3033482,0.24510879027798493,-1.0448796,0.5126111,0.8586209,1.943736,0.0
0.5126111,0.8586209,1.943736,1.083868719818244,-1.4451932,0.39007127,0.92078465,2.7502818,0.0
0.39007127,0.92078465,2.7502818,-0.024817614542437028,-2.12551,0.22685921,0.97392756,3.4371479,0.0
0.22685921,0.97392756,3.4371479,0.09093131752797623,-2.9822223,0.019788649,0.9998042,4.181233,0.0
0.019788649,0.9998042,4.181233,-0.2898359265658015,-4.153976,-0.22270727,0.97488534,4.887611,0.0
-0.22270727,0.97488534,4.887611,-1.8983234930236192,-5.615892,-0.4717654,0.8817241,5.3340263,0.0
-0.4717654,0.8817241,5.3340263,-1.5684342920267822,-7.0998516,-0.7027778,0.71140945,5.760054,0.0
-0.7027778,0.71140945,5.760054,-1.874283257253063,-8.844263,-0.8819192,0.47140062,6.012469,0.0
-0.8819192,0.47140062,6.012469,0.5456416450551216,-10.641562,-0.98583996,0.16768897,6.4478655,0.0
-0.98583996,0.16768897,6.4478655,-0.7425760756946933,-12.997417,-0.988069,-0.15401189,6.462246,0.0
-0.988069,-0.15401189,6.462246,0.03428276465881108,-13.098025,-0.8905601,-0.4548656,6.3518796,0.0
-0.8905601,-0.4548656,6.3518796,1.630265895704372,-11.162838,-0.707399,-0.7068144,6.25527,0.0
-0.707399,-0.7068144,6.25527,-1.0028310834045002,-9.467446,-0.4856222,-0.8741688,5.5747347,0.0
-0.4856222,-0.8741688,5.5747347,-0.35846830785748107,-7.4254436,-0.2607586,-0.96540403,4.865338,0.0
-0.2607586,-0.96540403,4.865338,1.0222045541721947,-5.7339687,-0.049057435,-0.998796,4.2946153,0.0
-0.049057435,-0.998796,4.2946153,-1.0848073380335101,-4.469539,0.11977449,-0.99280113,3.3827972,0.0
0.11977449,-0.99280113,3.3827972,-1.692080360684828,-3.251823,0.2370051,-0.9715084,2.3843844,0.0
